,x,y,y_mta,unpredicted_delay,unpredicted_delay_mta,weekday,nighttime
1922,40.0,42.50618070091478,43.75,-2.506180700914782,-3.75,True,False
2096,41.5,42.136168559421996,41.3,-0.6361685594219959,0.2,True,True
1932,39.5,42.08764903803248,42.88333333333333,-2.5876490380324793,-3.3833333333333333,True,False
1300,36.75,39.645631319985334,37.65,-2.8956313199853336,-0.9,False,False
1472,41.2,39.01009799770342,36.7,2.189902002296579,4.5,False,True
352,38.5,39.713494804406004,37.86666666666667,-1.2134948044060139,0.6333333333333333,False,False
1988,41.5,43.08937292664692,44.516666666666666,-1.589372926646926,-3.0166666666666666,True,False
537,43.21666666666667,43.86660244719647,44.95,-0.6499357805297981,-1.7333333333333334,True,False
347,39.5,39.21306112293676,37.96666666666667,0.28693887706324406,1.5333333333333334,False,False
1215,41.75,41.63177543997115,40.8,0.11822456002884489,0.95,True,True
1761,41.0,42.09154016928687,43.88333333333333,-1.0915401692868727,-2.8833333333333333,True,False
1262,38.75,39.4314339767046,37.85,-0.6814339767046022,0.9,False,False
1730,46.05,42.41499391342306,43.9,3.635006086576929,2.15,True,False
1391,40.55,39.25963990001761,36.56666666666667,1.2903600999823917,3.9833333333333334,False,False
750,38.25,41.78827739863762,42.766666666666666,-3.5382773986376153,-4.516666666666667,True,False
1601,39.233333333333334,42.78950490524743,44.28333333333333,-3.5561715719140996,-5.05,True,False
1339,38.25,38.71755045032554,36.03333333333333,-0.4675504503255297,2.216666666666667,False,False
131,43.0,43.74782343658924,44.78333333333333,-0.7478234365892528,-1.7833333333333334,True,False
157,44.38333333333333,42.365677167728656,42.1,2.017656165604679,2.283333333333333,True,False
1408,40.5,40.014737285493034,37.68333333333333,0.48526271450696185,2.816666666666667,False,False
636,55.25,53.17742151152913,48.21666666666667,2.07257848847086,7.033333333333333,True,True
944,44.0,42.57240196439163,42.6,1.4275980356083664,1.4,True,False
510,51.75,54.77811459367676,48.65,-3.0281145936767566,3.1,True,True
1625,43.733333333333334,40.986972632995325,41.45,2.7463607003380046,2.283333333333333,True,True
2000,44.65,42.84048593591206,42.56666666666667,1.809514064087936,2.0833333333333335,True,False
901,41.63333333333333,42.571118778928366,42.28333333333333,-0.9377854455950304,-0.65,True,True
446,39.75,39.20940266148425,37.86666666666667,0.5405973385157343,1.8833333333333333,False,False
461,41.56666666666667,40.751212220431185,37.666666666666664,0.8154544462354807,3.9,False,False
1574,65.50000000000003,57.87424690028977,43.7,7.625753099710255,21.800000000000022,True,False
616,44.25,42.269677365585494,41.083333333333336,1.980322634414506,3.1666666666666665,True,True
706,41.266666666666666,41.81895924669371,42.25,-0.5522925800270438,-0.9833333333333333,True,False
1850,39.25,41.975377461636434,42.05,-2.7253774616364277,-2.8,True,False
511,50.36666666666667,57.65574347761999,48.45,-7.289076810953316,1.9166666666666667,True,True
134,48.13333333333333,43.50662940084983,44.7,4.626703932483497,3.433333333333333,True,False
1486,60.68333333333333,51.91761118361107,48.733333333333334,8.765722149722258,11.95,True,True
2100,42.0,40.82164678311609,40.61666666666667,1.1783532168839126,1.3833333333333333,True,True
560,41.0,41.925391397981706,42.35,-0.9253913979817071,-1.35,True,False
564,42.21666666666667,41.77112122951533,42.13333333333333,0.4455454371513421,0.08333333333333333,True,False
1390,40.81666666666667,38.94287073784392,36.333333333333336,1.8737959288227481,4.483333333333333,False,False
840,42.25,42.06811822514336,42.53333333333333,0.18188177485665163,-0.2833333333333333,True,False
1826,41.5,42.999706711748395,44.233333333333334,-1.4997067117483842,-2.7333333333333334,True,False
394,59.28333333333333,53.375218217409255,48.13333333333333,5.908115115924079,11.15,False,True
526,43.0,41.820282261748694,40.7,1.179717738251308,2.3,True,False
327,42.06666666666667,40.67699143037622,37.65,1.3896752362904483,4.416666666666667,False,False
1138,43.0,41.63614641022491,42.18333333333333,1.3638535897750974,0.8166666666666667,True,False
420,42.25,39.678847105158,37.63333333333333,2.5711528948419984,4.616666666666666,False,False
1314,40.75,39.74360687574032,37.833333333333336,1.0063931242596709,2.9166666666666665,False,False
407,47.75,50.97225908941858,46.06666666666667,-3.2222590894185714,1.6833333333333333,False,False
1368,48.8,52.59996438850898,48.1,-3.7999643885089807,0.7,False,True
475,37.0,39.27368446729379,37.766666666666666,-2.2736844672937955,-0.7666666666666667,False,False
856,44.38333333333333,43.37804188753681,44.55,1.0052914457965167,-0.16666666666666666,True,False
1510,41.0,41.80936919053678,42.1,-0.8093691905367754,-1.1,True,False
1271,42.25,39.81744221297483,37.85,2.4325577870251665,4.4,False,False
